exp_name,dataset_name,file_size_bytes,pipeline,n_runs,compression_ratio_mean,compression_ratio_stdev,encode_ms_mean,encode_ms_stdev,decode_ms_mean,decode_ms_stdev,build_huffman_ms_mean,build_huffman_ms_stdev,build_obst_ms_mean,build_obst_ms_stdev,total_ms_mean,total_ms_stdev,lookup_comparisons_per_symbol_mean,lookup_comparisons_per_symbol_stdev,correctness_ok_rate
exp2_size_scaling,repetitive90,262144,huffman,7,0.22477504185267858,0.0005116335206535413,198.15932857142857,1.5567205847703043,266.80255714285715,3.468973496515049,2.2033428571428573,0.02851910804722905,0.0,0.0,467.16522857142854,3.4414066618725703,0.0,0.0,1.0
exp2_size_scaling,repetitive90,262144,huffman+obst,7,0.22477504185267858,0.0005116335206535413,370.62397142857145,4.038281995153499,266.13611428571426,2.3116691483490026,2.149542857142857,0.14192793778467125,2013.851542857143,99.96968745497901,2652.7611714285713,102.29377059128477,1.6222152709960938,0.0035098476534771374,1.0
exp2_size_scaling,repetitive90,524288,huffman,7,0.2250657762799944,0.000702067296035261,396.93204285714285,3.7771889216087433,535.2302571428571,5.510510450904146,2.2205142857142857,0.026749045376824782,0.0,0.0,934.3828142857143,8.213402549173022,0.0,0.0,1.0
exp2_size_scaling,repetitive90,524288,huffman+obst,7,0.2250657762799944,0.000702067296035261,730.7183428571428,39.76310587231406,524.2784857142857,27.358570663470257,2.217,0.03132709157688697,2048.6911142857143,28.783463120886395,3305.904942857143,94.24855717365752,1.626213891165597,0.004483761756342433,1.0
exp2_size_scaling,repetitive90,1048576,huffman,7,0.22469329833984375,0.00019767224819728673,776.6334,26.715638056139834,1069.0947428571428,5.487403922274277,2.129057142857143,0.170635858454418,0.0,0.0,1847.8572,30.67125483896393,0.0,0.0,1.0
exp2_size_scaling,repetitive90,1048576,huffman+obst,7,0.22469329833984375,0.00019767224819728673,1490.2241571428572,16.937360459829318,1048.3889857142858,36.189152810265675,2.2629,0.09287970714854774,2057.1973857142857,23.6277835972419,4598.073428571429,46.23153564046653,1.6253949574061803,0.0013837535465123798,1.0
exp2_size_scaling,repetitive90,2097152,huffman,7,0.22497313363211496,0.0003218878547914316,1560.5816285714286,82.0307082841281,2139.6847285714284,11.176558663815767,2.1998571428571427,0.08968266010667575,0.0,0.0,3702.466214285714,91.88640800411187,0.0,0.0,1.0
exp2_size_scaling,repetitive90,2097152,huffman+obst,7,0.22497313363211496,0.0003218878547914316,2936.6433,63.895804479715274,2124.506714285714,35.283151472595236,2.233557142857143,0.06271950406752423,2017.2646571428572,110.87826242404866,7080.648228571429,138.70283007405595,1.6283435140337263,0.0020161860984457313,1.0
exp2_size_scaling,repetitive90,4194304,huffman,7,0.22492357662745885,9.666880445798474e-05,3152.4493428571427,37.08302174683446,4262.056585714286,110.71035357673077,2.2074857142857143,0.015903713253139797,0.0,0.0,7416.713414285714,106.76496056560322,0.0,0.0,1.0
exp2_size_scaling,repetitive90,4194304,huffman+obst,7,0.22492357662745885,9.666880445798474e-05,5891.599214285714,91.88726530848245,4228.6257000000005,88.4083566864205,2.236,0.01333366666250015,2051.771957142857,18.11034179926453,12174.232871428572,116.51634870839212,1.6286539009639196,0.0006455762150785873,1.0
exp2_size_scaling,repetitive90,8388608,huffman,7,0.2249873195375715,0.0001068836955604072,6192.898,133.39239763222383,8581.598228571429,33.13459809095391,2.2206,0.039788691860879286,0.0,0.0,14776.716828571429,146.86157453504464,0.0,0.0,1.0
exp2_size_scaling,repetitive90,8388608,huffman+obst,7,0.2249873195375715,0.0001068836955604072,11764.81142857143,134.88365608041286,8437.647557142856,134.18208984392413,2.2351428571428573,0.05631518022531329,2047.640442857143,25.32917049772569,22252.33457142857,50.66365573678739,1.6296198538371496,0.0006359311346775145,1.0
